,comments,duration,film_date,languages,num_speaker,published_date,views,titleLength,numTags,descLength,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jaw-dropping,OK,Obnoxious,Inspiring,Positive,Moderate,Negative,is_yearlyTedConference,is_TEDGlobal,is_TEDSalon,is_Other,is_TEDx,is_TEDWomen,is_TEDNYC,is_culture,is_technology,is_science,is_business,is_globalIssues,is_entertainment,is_design,is_psychology,is_brain
0,124.0,1016.0,1379635200.0,26.0,1.0,1381763957.0,1041732.0,17.0,4.0,280.0,55.0,19.0,33.0,21.0,12.0,9.0,310.0,92.0,19.0,272.0,15.0,41.0,10.0,243.0,478.0,623.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,168.0,684.0,1330473600.0,40.0,1.0,1333984091.0,3055565.0,22.0,5.0,206.0,350.0,1185.0,298.0,175.0,13.0,2.0,42.0,420.0,17.0,31.0,89.0,51.0,21.0,1062.0,3579.0,124.0,53.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,202.0,1112.0,1340668800.0,24.0,1.0,1348584705.0,1245095.0,52.0,10.0,330.0,83.0,13.0,185.0,46.0,13.0,10.0,302.0,197.0,6.0,349.0,71.0,21.0,4.0,385.0,980.0,672.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15.0,467.0,1481587200.0,16.0,1.0,1500649053.0,1026708.0,28.0,6.0,327.0,65.0,27.0,13.0,34.0,0.0,0.0,15.0,15.0,0.0,20.0,5.0,3.0,0.0,73.0,232.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,59.0,915.0,1455580800.0,29.0,1.0,1466694337.0,4235594.0,46.0,9.0,455.0,1696.0,348.0,330.0,149.0,35.0,24.0,1274.0,1228.0,32.0,309.0,78.0,214.0,17.0,825.0,4654.0,1797.0,108.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,148.0,945.0,1347580800.0,21.0,1.0,1367852855.0,407419.0,31.0,5.0,296.0,2.0,12.0,5.0,3.0,21.0,6.0,75.0,7.0,50.0,54.0,2.0,30.0,8.0,6.0,37.0,159.0,85.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,138.0,1031.0,1434412800.0,26.0,1.0,1437404385.0,2603397.0,32.0,5.0,359.0,33.0,48.0,16.0,291.0,7.0,5.0,341.0,294.0,35.0,250.0,70.0,34.0,7.0,182.0,934.0,625.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,85.0,1038.0,1046649600.0,24.0,1.0,1213563480.0,838799.0,25.0,8.0,168.0,131.0,38.0,41.0,10.0,41.0,31.0,411.0,319.0,28.0,10.0,55.0,67.0,8.0,100.0,694.0,488.0,108.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,46.0,792.0,1410480000.0,32.0,1.0,1414163285.0,1435886.0,48.0,4.0,290.0,934.0,50.0,199.0,23.0,19.0,10.0,234.0,224.0,22.0,25.0,27.0,75.0,11.0,141.0,1598.0,334.0,62.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,309.0,1077.0,1340323200.0,28.0,1.0,1353341964.0,4682458.0,25.0,4.0,244.0,46.0,41.0,103.0,28.0,32.0,12.0,691.0,347.0,83.0,285.0,63.0,73.0,17.0,148.0,776.0,1049.0,144.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
