comments,duration,film_date,languages,main_speaker,num_speaker,published_date,speaker_occupation,title,views,Beautiful,Confusing,Courageous,Funny,Informative,Ingenious,Inspiring,Longwinded,Unconvincing,Fascinating,Jaw-dropping,Persuasive,OK,Obnoxious,Title_Length,Number_Question_marks
4553,1164,1140825600,60,Ken Robinson,1,1151367060,Author/educator,Do schools kill creativity?,47227110,0.048726691529035686,0.00257858284496537,0.03466169419286095,0.2093233883857219,0.07827384123601491,0.0647096430474161,0.2655727224294086,0.004123601491742142,0.003196590303676079,0.1127437400106553,0.04729888119339371,0.11405434203516247,0.012509323388385722,0.002226957911561001,4,0
265,977,1140825600,43,Al Gore,1,1151367060,Climate advocate,Averting the climate crisis,3200520,0.01975476839237057,0.02111716621253406,0.0473433242506812,0.18528610354223432,0.15088555858310626,0.019073569482288832,0.14066757493188012,0.03848773841961853,0.08787465940054498,0.044959128065395086,0.039509536784741145,0.09128065395095368,0.069141689373297,0.044618528610354216,4,0
124,1286,1140739200,26,David Pogue,1,1151367060,Technology columnist,Simplicity sells,1636292,0.021246458923512748,0.009560906515580735,0.015934844192634558,0.3413597733711048,0.13987252124645894,0.06480169971671389,0.08144475920679886,0.027620396600566567,0.036827195467422094,0.05878186968838527,0.019121813031161474,0.08144475920679886,0.051699716713881017,0.05028328611898017,2,0
200,1116,1140912000,35,Majora Carter,1,1151367060,Activist for environmental justice,Greening the ghetto,1697550,0.07805793991416309,0.008583690987124462,0.203862660944206,0.01582618025751073,0.101931330472103,0.028165236051502143,0.28701716738197425,0.01421673819742489,0.009656652360515022,0.03540772532188841,0.06169527896995707,0.12339055793991414,0.022800429184549355,0.009388412017167384,3,0
593,1190,1140566400,48,Hans Rosling,1,1151440680,Global health expert; data visionary,The best stats you've ever seen,12005869,0.03676814988290398,0.002810304449648712,0.012412177985948477,0.05425448868071819,0.2120608899297424,0.12498048399687745,0.11291959406713505,0.00429352068696331,0.002615144418423107,0.17978142076502732,0.14582357533177207,0.09921935987509757,0.009679937548790008,0.0023809523809523807,6,0
672,1305,1138838400,36,Tony Robbins,1,1151440680,Life coach; expert in leadership psychology,Why we do what we do,20685401,0.04597551445688981,0.019601458713206562,0.046952331336285485,0.07176348007293566,0.06759572805418078,0.02585308674133889,0.33934618390205784,0.018559520708517845,0.024550664235477988,0.08791351914561084,0.043566032821047145,0.15778848658504818,0.028718416254232874,0.021815576973170096,6,0
919,992,1140739200,31,Julia Sweeney,1,1152490260,"Actor, comedian, playwright",Letting go of God,3769987,0.046182060686895635,0.012004001333777927,0.07952650883627876,0.4141380460153384,0.03767922640880293,0.053351117039013005,0.07302434144714905,0.03217739246415472,0.037512504168056016,0.05268422807602534,0.010170056685561854,0.05185061687229076,0.05135045015005002,0.048349449816605536,4,0
46,1198,1140652800,19,Joshua Prince-Ramus,1,1152490260,Architect,Behind the design of Seattle's library,967741,0.095703125,0.0244140625,0.033203125,0.0087890625,0.1181640625,0.1904296875,0.1708984375,0.025390625,0.025390625,0.1494140625,0.0556640625,0.0361328125,0.0615234375,0.0048828125,6,0
852,1485,1138838400,32,Dan Dennett,1,1153181460,"Philosopher, cognitive scientist",Let's teach religion -- all religion -- in schools,2567958,0.036746071971616834,0.017739483020780537,0.1424227065382666,0.015205271160669031,0.1578813988849468,0.05347187024835276,0.1117587430309174,0.044855549923973635,0.0717181956411556,0.07932083122149011,0.015205271160669031,0.19361378611251898,0.039026862645717184,0.02103395843892549,9,0
900,1262,1140825600,31,Rick Warren,1,1153181460,"Pastor, author",A life of purpose,3095993,0.09211000360273808,0.013330130899483608,0.05716344421760537,0.003122373003482647,0.036507745886874034,0.013930587246307193,0.3069532844962171,0.03674792842560346,0.10063648372763301,0.05512189263840519,0.02509907529722589,0.1853008286297586,0.029422360994355714,0.04455386093431008,4,0
